NAMESPACE      NAME                                   READY   STATUS             RESTARTS   AGE   IP              NODE          NOMINATED NODE   READINESS GATES
default        flannel-test-a                         1/1     Running            0          2m    10.244.0.16     lima-node-2   <none>           <none>
default        flannel-test-b                         1/1     Running            0          2m    10.244.1.8      lima-node-3   <none>           <none>
kube-flannel   kube-flannel-ds-c25e0                  1/1     Running            0          4m    192.168.108.5   lima-node-3   <none>           <none>
kube-flannel   kube-flannel-ds-d4fc8                  1/1     Running            0          4m    192.168.108.4   lima-node-2   <none>           <none>
kube-system    coredns-6bfb6db6f5-15e53               1/1     Running            0          2m    10.244.1.7      lima-node-3   <none>           <none>
kube-system    konnectivity-agent-2                   1/1     Running            0          7m    10.85.1.9       lima-node-2   <none>           <none>
kube-system    konnectivity-agent-3                   1/1     Running            0          6m    10.85.2.4       lima-node-3   <none>           <none>
kube-system    kube-network-policies-43ab5            1/1     Running            0          7m    192.168.108.4   lima-node-2   <none>           <none>
kube-system    kube-network-policies-a2ddf            1/1     Running            0          6m    192.168.108.5   lima-node-3   <none>           <none>
kube-system    metrics-server-77df67787f-b0c3f        0/1     CrashLoopBackOff   5          7m    10.85.1.11      lima-node-2   <none>           <none>
kube-system    snapshot-controller-6f55c5d7bc-53c0b   0/1     Error              3          7m    10.85.1.13      lima-node-2   <none>           <none>
kube-system    snapshot-controller-6f55c5d7bc-6c467   1/1     Running            0          7m    10.85.1.12      lima-node-2   <none>           <none>
